Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2012-11-01,2013-05-01,ASIANPAINT.NS,Long,0.05080107747003313,392.79046630859375,441.11431884765625,0.006249906723954672
2012-12-01,2013-06-01,ASIANPAINT.NS,Long,0.041760859528850655,402.0606994628906,420.5602722167969,0.0019214960829339552
2013-01-01,2013-07-01,ASIANPAINT.NS,Long,0.0443370780544186,408.2831726074219,464.0484619140625,0.0060557724407935
2013-02-01,2013-08-01,ASIANPAINT.NS,Long,0.05726901537800084,387.5158996582031,384.8330383300781,-0.0003964865100837236
2013-04-01,2013-10-01,ASIANPAINT.NS,Long,0.03914115895762437,424.61944580078125,493.16583251953125,0.006318563704659349
2013-05-01,2013-11-01,ASIANPAINT.NS,Long,0.050106303927719524,441.11431884765625,461.4095458984375,0.0023053407505452695
2013-06-01,2013-12-01,ASIANPAINT.NS,Long,0.05569966735239601,420.5602722167969,448.9043884277344,0.0037539395626342733
2013-07-01,2014-01-01,ASIANPAINT.NS,Long,0.047312201927668926,464.0484619140625,432.1391906738281,-0.0032533194443866275
2013-08-01,2014-02-01,ASIANPAINT.NS,Long,0.05689870103008404,384.8330383300781,433.330078125,0.007170430532964127
2013-09-01,2014-03-01,ASIANPAINT.NS,Long,0.031044274121454975,419.8469543457031,501.99407958984375,0.006074113073757721
2013-10-01,2014-04-01,ASIANPAINT.NS,Long,0.031745788358148175,493.16583251953125,462.78375244140625,-0.0019557378480843306
2013-11-01,2014-05-01,ASIANPAINT.NS,Long,0.02711328509668426,461.4095458984375,465.0281982421875,0.00021263875776743438
2013-12-01,2014-06-01,ASIANPAINT.NS,Long,0.02658601290994463,448.9043884277344,544.181884765625,0.0056427355422793745
2014-12-01,2015-06-01,ASIANPAINT.NS,Long,0.03706139582373266,696.4583129882812,699.2821044921875,0.00015026549715650624
2015-01-01,2015-07-01,ASIANPAINT.NS,Long,0.03398793488653871,794.0809936523438,821.9437866210938,0.0011925720433419538
2015-02-01,2015-08-01,ASIANPAINT.NS,Long,0.04142220594273851,747.237060546875,790.1015014648438,0.0023761397728653813
2015-03-01,2015-09-01,ASIANPAINT.NS,Long,0.029224631699745547,751.0790405273438,783.5838012695312,0.0012647665690575106
2015-04-01,2015-10-01,ASIANPAINT.NS,Long,0.044593697187668084,705.8551025390625,773.3887939453125,0.0042665654377260455
2015-05-01,2015-11-01,ASIANPAINT.NS,Long,0.03887771331567125,728.6292114257812,782.7797241210938,0.002889327075352122
2015-06-01,2015-12-01,ASIANPAINT.NS,Long,0.04047936887628644,699.2821044921875,824.8359375,0.007267939344516275
2015-07-01,2016-01-01,ASIANPAINT.NS,Long,0.036261990998616524,821.9437866210938,812.0932006835938,-0.0004345818587730146
2015-08-01,2016-02-01,ASIANPAINT.NS,Long,0.02498538145864516,790.1015014648438,789.8745727539062,-7.176167107872801e-06
2015-09-01,2016-03-01,ASIANPAINT.NS,Long,0.03678498934472844,783.5838012695312,810.69287109375,0.0012726230978917033
