Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2012-11-01,2013-05-01,BAJFINANCE.NS,Long,0.08628063052346832,126.72630310058594,139.44970703125,0.008662631882121042
2012-12-01,2013-06-01,BAJFINANCE.NS,Long,0.08434348870650875,124.43501281738281,131.15289306640625,0.004553456813210003
2013-01-01,2013-07-01,BAJFINANCE.NS,Long,0.0693006312097664,122.34461975097656,108.34614562988281,-0.007929266481353654
2013-02-01,2013-08-01,BAJFINANCE.NS,Long,0.06992717939798315,121.35962677001953,98.29052734375,-0.013292369934423454
2013-03-01,2013-09-01,BAJFINANCE.NS,Long,0.06727749943725035,108.73921203613281,111.5676040649414,0.0017499404268559785
2013-04-01,2013-10-01,BAJFINANCE.NS,Long,0.0308785950516468,116.1409912109375,129.5208282470703,0.003557319129000712
2013-05-01,2013-11-01,BAJFINANCE.NS,Long,0.045728005288130105,139.44970703125,135.02503967285156,-0.0014509260483259309
2013-06-01,2013-12-01,BAJFINANCE.NS,Long,0.033234802787949894,131.15289306640625,151.3653106689453,0.005121928286766385
2013-07-01,2014-01-01,BAJFINANCE.NS,Long,0.029694167473162496,108.34614562988281,146.56947326660156,0.010475775447550774
2014-01-01,2014-07-01,BAJFINANCE.NS,Long,0.020896044836735485,146.56947326660156,209.86770629882812,0.009024271466962651
2014-02-01,2014-08-01,BAJFINANCE.NS,Long,0.0124287923919527,150.43199157714844,238.39141845703125,0.0072672670496724025
2014-03-01,2014-09-01,BAJFINANCE.NS,Long,0.017472407790229565,171.44363403320312,262.4967346191406,0.009279533258692947
2014-04-01,2014-10-01,BAJFINANCE.NS,Long,0.028770862201225354,178.99636840820312,270.9080505371094,0.014773363084009925
2014-05-01,2014-11-01,BAJFINANCE.NS,Long,0.05570261020741054,193.44607543945312,298.2400207519531,0.03017531513409227
2014-06-01,2014-12-01,BAJFINANCE.NS,Long,0.10755928667906485,192.0771942138672,336.06201171875,0.08062854274202239
2014-07-01,2015-01-01,BAJFINANCE.NS,Long,0.09924259030163665,209.86770629882812,390.7163391113281,0.08552000252609744
2014-08-01,2015-02-01,BAJFINANCE.NS,Long,0.11606560823564187,238.39141845703125,396.1710510253906,0.07681815536721387
2014-09-01,2015-03-01,BAJFINANCE.NS,Long,0.08820660817540492,262.4967346191406,396.3013916015625,0.044962292455246175
2014-10-01,2015-04-01,BAJFINANCE.NS,Long,0.10018933372827518,270.9080505371094,390.1134338378906,0.04408546702857378
2014-11-01,2015-05-01,BAJFINANCE.NS,Long,0.1094565831184025,298.2400207519531,406.7286682128906,0.03981624138930525
2014-12-01,2015-06-01,BAJFINANCE.NS,Long,0.11814692639715825,336.06201171875,525.0707397460938,0.06644845147613919
2015-01-01,2015-07-01,BAJFINANCE.NS,Long,0.09490290867754572,390.7163391113281,531.6203002929688,0.034224818421313835
2015-02-01,2015-08-01,BAJFINANCE.NS,Long,0.06892042326814098,396.1710510253906,486.0192565917969,0.015630562459049504
2015-03-01,2015-09-01,BAJFINANCE.NS,Long,0.054342952826249374,396.3013916015625,496.6714172363281,0.013763271297627219
2015-04-01,2015-10-01,BAJFINANCE.NS,Long,0.06612820517729963,390.1134338378906,505.4892883300781,0.01955738386988251
