Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-02-01,2013-08-01,BPCL.NS,Long,0.0658179030820667,32.1135368347168,23.570371627807617,-0.017509538812136
2014-04-01,2014-10-01,BPCL.NS,Long,0.024902368542204,40.838924407958984,66.68257141113281,0.015758691774512983
2014-05-01,2014-11-01,BPCL.NS,Long,0.027238538804174792,46.8538932800293,68.6607437133789,0.012677425506042339
2014-06-01,2014-12-01,BPCL.NS,Long,0.04970388316095101,53.901283264160156,59.43697738647461,0.005104618614028986
2014-07-01,2015-01-01,BPCL.NS,Long,0.05757248953894226,52.08332061767578,68.89996337890625,0.01858898353578661
2014-08-01,2015-02-01,BPCL.NS,Long,0.046980916408287846,62.331214904785156,68.47671508789062,0.004632048819048939
2014-09-01,2015-03-01,BPCL.NS,Long,0.04514631220919082,58.83892822265625,74.5998306274414,0.012093126815165747
2014-10-01,2015-04-01,BPCL.NS,Long,0.03765709498880652,66.68257141113281,70.36287689208984,0.0020783483622691568
2014-11-01,2015-05-01,BPCL.NS,Long,0.026745893091974556,68.6607437133789,78.2203369140625,0.0037238142775670186
2014-12-01,2015-06-01,BPCL.NS,Long,0.026118799240538625,59.43697738647461,80.906982421875,0.00943471178836534
2015-01-01,2015-07-01,BPCL.NS,Long,0.013875683871090658,68.89996337890625,85.26811981201172,0.003296364077427986
2015-02-01,2015-08-01,BPCL.NS,Long,0.01140393049705511,68.47671508789062,81.26119232177734,0.002129092927855843
2015-03-01,2015-09-01,BPCL.NS,Long,0.011849581899696121,74.5998306274414,80.32421875,0.0009092729207746215
2015-04-01,2015-10-01,BPCL.NS,Long,0.014700557038442188,70.36287689208984,82.25041961669922,0.0024836036783721155
2015-05-01,2015-11-01,BPCL.NS,Long,0.015200773094133483,78.2203369140625,85.14443969726562,0.0013455799276799912
2015-06-01,2015-12-01,BPCL.NS,Long,0.01826491601480554,80.906982421875,84.25213623046875,0.0007551752832899163
2015-07-01,2016-01-01,BPCL.NS,Long,0.01997662460519292,85.26811981201172,84.33241271972656,-0.00021921756178284985
2015-08-01,2016-02-01,BPCL.NS,Long,0.021486276138393705,81.26119232177734,72.63361358642578,-0.0022812185474642413
2015-09-01,2016-03-01,BPCL.NS,Long,0.026427467742548637,80.32421875,86.61531829833984,0.0020698343907504654
2015-10-01,2016-04-01,BPCL.NS,Long,0.05381195592408345,82.25041961669922,94.09310150146484,0.007748019749634977
2015-11-01,2016-05-01,BPCL.NS,Long,0.0631735674737042,85.14443969726562,94.33363342285156,0.0068179924833175675
2015-12-01,2016-06-01,BPCL.NS,Long,0.06952979350563403,84.25213623046875,103.1512451171875,0.015596650685977948
2016-01-01,2016-07-01,BPCL.NS,Long,0.06811656655261993,84.33241271972656,115.75221252441406,0.025378248000313235
2016-02-01,2016-08-01,BPCL.NS,Long,0.09065512149316945,72.63361358642578,117.6955795288086,0.056242527330228075
2016-03-01,2016-09-01,BPCL.NS,Long,0.04399808037992898,86.61531829833984,119.64871215820312,0.01678001012779254
2016-04-01,2016-10-01,BPCL.NS,Long,0.033284178990987165,94.09310150146484,130.6741180419922,0.012940046430377458
2016-05-01,2016-11-01,BPCL.NS,Long,0.035265575053277896,94.33363342285156,125.77175903320312,0.011752792063850062
2016-06-01,2016-12-01,BPCL.NS,Long,0.02949672139313317,103.1512451171875,124.12136840820312,0.005996533377682662
2016-07-01,2017-01-01,BPCL.NS,Long,0.02975784754615341,115.75221252441406,133.13504028320312,0.004468817719211943
2016-08-01,2017-02-01,BPCL.NS,Long,0.02810285154876823,117.6955795288086,130.86944580078125,0.0031455999422132235
2016-09-01,2017-03-01,BPCL.NS,Long,0.0286929437893066,119.64871215820312,130.52049255371094,0.0026071603960561695
2016-10-01,2017-04-01,BPCL.NS,Long,0.03213336566822837,130.6741180419922,147.15504455566406,0.004052735508379976
2016-11-01,2017-05-01,BPCL.NS,Long,0.033851214208102616,125.77175903320312,151.9425811767578,0.007043823774061619
2016-12-01,2017-06-01,BPCL.NS,Long,0.059491741568785735,124.12136840820312,130.81813049316406,0.003209778013370726
2017-01-01,2017-07-01,BPCL.NS,Long,0.05920529323568215,133.13504028320312,144.79432678222656,0.00518489703856425
2017-02-01,2017-08-01,BPCL.NS,Long,0.07700236120320796,130.86944580078125,162.5728759765625,0.01865400259654509
2017-03-01,2017-09-01,BPCL.NS,Long,0.06362455588042355,130.52049255371094,144.8404541015625,0.00698052218376258
2017-04-01,2017-10-01,BPCL.NS,Long,0.058734845729855274,147.15504455566406,166.44509887695312,0.007699351171429696
2017-05-01,2017-11-01,BPCL.NS,Long,0.07468058738015104,151.9425811767578,154.84375,0.0014259399184265705
2017-06-01,2017-12-01,BPCL.NS,Long,0.07302152937628743,130.81813049316406,159.1001434326172,0.015786770770178024
2018-01-01,2018-07-01,BPCL.NS,Long,0.013343735389060953,151.29417419433594,123.64625549316406,-0.002438471363297999
2019-04-01,2019-10-01,BPCL.NS,Long,0.009591976029591451,126.96720123291016,189.48072814941406,0.004722701972522495
2019-06-01,2019-12-01,BPCL.NS,Long,0.01042972836418123,131.17880249023438,176.86907958984375,0.0036327300599391576
2019-08-01,2020-02-01,BPCL.NS,Long,0.015473437174014953,118.74447631835938,153.4088897705078,0.0045170743124745005
2019-09-01,2020-03-01,BPCL.NS,Long,0.015929324276396213,169.1509552001953,114.02667999267578,-0.005191176450896407
2019-10-01,2020-04-01,BPCL.NS,Long,0.009609578054774645,189.48072814941406,140.422607421875,-0.0024879988849319944
2019-11-01,2020-05-01,BPCL.NS,Long,0.01026414377158948,184.06546020507812,130.0996551513672,-0.0030093249499591745
2019-12-01,2020-06-01,BPCL.NS,Long,0.01234836487255855,176.86907958984375,141.94068908691406,-0.0024385749693591526
2020-01-01,2020-07-01,BPCL.NS,Long,0.011532239814188432,164.4193572998047,157.04559326171875,-0.0005171898042721911
2020-02-01,2020-08-01,BPCL.NS,Long,0.012111402868397509,153.4088897705078,154.76844787597656,0.00010733508314257251
2020-03-01,2020-09-01,BPCL.NS,Long,0.01094412687649649,114.02667999267578,133.98973083496094,0.0019160266814218583
2020-04-01,2020-10-01,BPCL.NS,Long,0.008607241465257738,140.422607421875,134.5210418701172,-0.0003617380467407092
2020-05-01,2020-11-01,BPCL.NS,Long,0.011979642993868141,130.0996551513672,141.56114196777344,0.0010553795863618804
2020-06-01,2020-12-01,BPCL.NS,Long,0.011426592018095254,141.94068908691406,144.63528442382812,0.0002169218831248967
2023-05-01,2023-11-01,BPCL.NS,Long,0.0315809732055093,163.08689880371094,197.66012573242188,0.006694934794104798
2023-06-01,2023-12-01,BPCL.NS,Long,0.03716033380351224,163.62527465820312,204.44235229492188,0.009269816249553977
2023-07-01,2024-01-01,BPCL.NS,Long,0.03814931866700645,169.36810302734375,238.6634063720703,0.015608420724875565
2023-08-01,2024-02-01,BPCL.NS,Long,0.04106058544045855,152.7902069091797,286.8854064941406,0.036036520344438557
2023-12-01,2024-06-01,BPCL.NS,Long,0.021047229268105625,204.44235229492188,288.8095703125,0.008685559329539785
2024-02-01,2024-08-01,BPCL.NS,Long,0.021115302617326893,286.8854064941406,339.8346252441406,0.003897161556316821
2024-03-01,2024-09-01,BPCL.NS,Long,0.021315742320256997,286.196533203125,362.7818298339844,0.005704025937117883
2024-04-01,2024-10-01,BPCL.NS,Long,0.021854028233793205,288.5482482910156,304.7288818359375,0.0012254866367261686
2024-05-01,2024-11-01,BPCL.NS,Long,0.022488751128011682,298.263916015625,286.44024658203125,-0.0008914908744711825
2024-06-01,2024-12-01,BPCL.NS,Long,0.03239438654499728,288.8095703125,286.7834777832031,-0.0002272570971209741
2024-07-01,2025-01-01,BPCL.NS,Long,0.02779627577331899,332.61322021484375,256.0408935546875,-0.006399100754550774
2024-08-01,2025-02-01,BPCL.NS,Long,0.025575035746072464,339.8346252441406,237.3000030517578,-0.007716478642799624
2024-09-01,2025-03-01,BPCL.NS,Long,0.03719196297742974,362.7818298339844,278.4700012207031,-0.008643548685389017
2024-10-01,2025-04-01,BPCL.NS,Long,0.026016996361330563,304.7288818359375,310.04998779296875,0.0004543028330241135
2024-11-01,2025-05-01,BPCL.NS,Long,0.01533647345460471,286.44024658203125,318.3999938964844,0.0017111764919655386
