Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-05-01,2013-11-01,BRITANNIA.NS,Long,0.07573689950749062,311.3277587890625,381.3020935058594,0.017022700375845003
2013-06-01,2013-12-01,BRITANNIA.NS,Long,0.03957594965772804,289.87615966796875,400.4868469238281,0.015101355680504087
2013-07-01,2014-01-01,BRITANNIA.NS,Long,0.03320471802378499,300.5375061035156,383.93402099609375,0.009214017235574743
2013-08-01,2014-02-01,BRITANNIA.NS,Long,0.04415901315036613,305.5637512207031,386.4789733886719,0.011693587166362929
2013-09-01,2014-03-01,BRITANNIA.NS,Long,0.04619801614350466,357.593017578125,366.9026184082031,0.0012027222800668062
2013-10-01,2014-04-01,BRITANNIA.NS,Long,0.04413061798381712,408.7306213378906,375.885986328125,-0.003546233056112608
2013-11-01,2014-05-01,BRITANNIA.NS,Long,0.05056608082000169,381.3020935058594,383.3031921386719,0.0002653741401344745
2013-12-01,2014-06-01,BRITANNIA.NS,Long,0.04028978925466842,400.4868469238281,438.68231201171875,0.003842541273690944
2014-01-01,2014-07-01,BRITANNIA.NS,Long,0.03870830809682622,383.93402099609375,499.5862731933594,0.011660084195011083
2014-02-01,2014-08-01,BRITANNIA.NS,Long,0.021280349511209256,386.4789733886719,547.0045776367188,0.00883887921235257
2014-03-01,2014-09-01,BRITANNIA.NS,Long,0.03799125170216868,366.9026184082031,612.6460571289062,0.025445718744388123
2014-04-01,2014-10-01,BRITANNIA.NS,Long,0.07131416715772776,375.885986328125,673.71044921875,0.05650411109421384
2014-05-01,2014-11-01,BRITANNIA.NS,Long,0.06356246205639765,383.3031921386719,725.2685546875,0.05670748594691698
2014-09-01,2015-03-01,BRITANNIA.NS,Long,0.06585547211919353,612.6460571289062,949.9853515625,0.03626178319565285
2014-10-01,2015-04-01,BRITANNIA.NS,Long,0.0627474001279099,673.71044921875,967.2815551757812,0.027342345176388578
2014-11-01,2015-05-01,BRITANNIA.NS,Long,0.05670873663605677,725.2685546875,1119.931396484375,0.03085868125792391
2014-12-01,2015-06-01,BRITANNIA.NS,Long,0.06227182631606289,809.83447265625,1215.98388671875,0.03123066086321846
2015-01-01,2015-07-01,BRITANNIA.NS,Long,0.10662029267462315,831.35546875,1387.932373046875,0.0713802875697611
2015-02-01,2015-08-01,BRITANNIA.NS,Long,0.09512697268160662,916.9335327148438,1296.6473388671875,0.03939328596450853
2015-03-01,2015-09-01,BRITANNIA.NS,Long,0.15424520391097074,949.9853515625,1363.936767578125,0.06721158433395531
2015-04-01,2015-10-01,BRITANNIA.NS,Long,0.15273290661726202,967.2815551757812,1430.275146484375,0.07310628075904488
2015-05-01,2015-11-01,BRITANNIA.NS,Long,0.14339881912671343,1119.931396484375,1292.2437744140625,0.02206330815762416
2015-06-01,2015-12-01,BRITANNIA.NS,Long,0.10496339953301301,1215.98388671875,1312.7340087890625,0.008351444314889057
