Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-05-01,2013-11-01,DRREDDY.NS,Long,0.06017269185517556,384.7640075683594,460.013916015625,0.011768225364278692
2013-06-01,2013-12-01,DRREDDY.NS,Long,0.06587612818857927,408.09442138671875,469.23345947265625,0.009869292250037916
2013-07-01,2014-01-01,DRREDDY.NS,Long,0.06268057464255054,419.5619812011719,483.1090087890625,0.009493625219881752
2013-08-01,2014-02-01,DRREDDY.NS,Long,0.08633422055587653,424.48724365234375,536.0472412109375,0.02268959922462325
2013-09-01,2014-03-01,DRREDDY.NS,Long,0.09048520847996656,440.8251037597656,474.6578369140625,0.006944617914913411
2013-10-01,2014-04-01,DRREDDY.NS,Long,0.1017837944342988,454.7562561035156,500.9927062988281,0.01034866761894559
2013-11-01,2014-05-01,DRREDDY.NS,Long,0.10850824806204595,460.013916015625,455.5429992675781,-0.0010546014515468482
2013-12-01,2014-06-01,DRREDDY.NS,Long,0.20861305337569316,469.23345947265625,485.79345703125,0.007362287545467731
2014-01-01,2014-07-01,DRREDDY.NS,Long,0.20933594035882463,483.1090087890625,519.9779052734375,0.01597565968578051
2014-02-01,2014-08-01,DRREDDY.NS,Long,0.3412532512101218,536.0472412109375,545.7481689453125,0.006175711531751373
2014-03-01,2014-09-01,DRREDDY.NS,Long,0.2185745143662038,474.6578369140625,597.8995971679688,0.05675142345118543
2015-04-01,2015-10-01,DRREDDY.NS,Long,0.03410007273897253,612.8304443359375,792.3428344726562,0.009988709956865889
2015-05-01,2015-11-01,DRREDDY.NS,Long,0.0333422133979991,654.4849243164062,575.7579345703125,-0.004010683813745632
2015-06-01,2015-12-01,DRREDDY.NS,Long,0.033003436885005843,658.9651489257812,575.498779296875,-0.004180307663552072
2015-07-01,2016-01-01,DRREDDY.NS,Long,0.03751411992859022,754.6130981445312,574.9063110351562,-0.00893377279055858
2015-08-01,2016-02-01,DRREDDY.NS,Long,0.027974076532638534,796.5546875,562.1044311523438,-0.008233621014459298
2015-09-01,2016-03-01,DRREDDY.NS,Long,0.045439287381830715,770.5807495117188,561.9100952148438,-0.01230480496010127
2015-10-01,2016-04-01,DRREDDY.NS,Long,0.08044184424767437,792.3428344726562,571.814697265625,-0.022388907040781683
2015-11-01,2016-05-01,DRREDDY.NS,Long,0.06459985385151283,575.7579345703125,589.291015625,0.0015184073128682613
2018-10-01,2019-04-01,DRREDDY.NS,Long,0.028615790146347995,497.9770812988281,574.6190795898438,0.004404161199090161
2018-11-01,2019-05-01,DRREDDY.NS,Long,0.0341574314124706,533.183837890625,524.5951538085938,-0.0005502180797827184
2018-12-01,2019-06-01,DRREDDY.NS,Long,0.030947613978869068,512.48095703125,499.5440368652344,-0.0007812325626547823
2019-01-01,2019-07-01,DRREDDY.NS,Long,0.03407997113627516,532.90966796875,504.274169921875,-0.0018312614793237147
2019-02-01,2019-08-01,DRREDDY.NS,Long,0.0351581313846412,515.4483032226562,504.76544189453125,-0.0007286655903024288
2019-03-01,2019-09-01,DRREDDY.NS,Long,0.034561721663965664,544.5538330078125,533.3342895507812,-0.000712081551270833
2019-04-01,2019-10-01,DRREDDY.NS,Long,0.04681646783673552,574.6190795898438,549.3111572265625,-0.0020619355942390087
2019-05-01,2019-11-01,DRREDDY.NS,Long,0.05402974693721285,524.5951538085938,575.0971069335938,0.005201359043004638
2019-06-01,2019-12-01,DRREDDY.NS,Long,0.09373580506553947,499.5440368652344,567.340576171875,0.012721527480228685
2020-02-01,2020-08-01,DRREDDY.NS,Long,0.06850960535520131,577.712158203125,847.1326904296875,0.031949984218508094
2020-03-01,2020-09-01,DRREDDY.NS,Long,0.0832118069922383,615.9323120117188,1030.4957275390625,0.05600708104797088
2020-04-01,2020-10-01,DRREDDY.NS,Long,0.13590478944910264,776.8947143554688,971.0730590820312,0.03396826695819696
