Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-09-01,2014-03-01,HEROMOTOCO.NS,Long,0.05258529229760964,1365.7177734375,1593.4549560546875,0.008768741644780937
2013-10-01,2014-04-01,HEROMOTOCO.NS,Long,0.058963943850249084,1455.88037109375,1541.3045654296875,0.0034597261548989116
2013-11-01,2014-05-01,HEROMOTOCO.NS,Long,0.06214184929242596,1438.0533447265625,1643.224365234375,0.008865948319875432
2013-12-01,2014-06-01,HEROMOTOCO.NS,Long,0.08354479941983368,1453.7091064453125,1845.523193359375,0.022517592519691678
2014-01-01,2014-07-01,HEROMOTOCO.NS,Long,0.12277234289452116,1379.38818359375,1819.25537109375,0.03915034637392793
2014-02-01,2014-08-01,HEROMOTOCO.NS,Long,0.05913964161549867,1377.951904296875,1869.9708251953125,0.021116718630920343
2014-03-01,2014-09-01,HEROMOTOCO.NS,Long,0.06977942292958544,1593.4549560546875,2062.191650390625,0.020526577116222328
2014-04-01,2014-10-01,HEROMOTOCO.NS,Long,0.09582411760226196,1541.3045654296875,2225.37744140625,0.04252934895954283
2014-05-01,2014-11-01,HEROMOTOCO.NS,Long,0.08348940544056434,1643.224365234375,2285.7646484375,0.0326463673197721
2014-10-01,2015-04-01,HEROMOTOCO.NS,Long,0.06613328895892381,2225.37744140625,1691.3377685546875,-0.015870476325986153
2014-11-01,2015-05-01,HEROMOTOCO.NS,Long,0.06296268504399455,2285.7646484375,1958.5570068359375,-0.009013120268628893
2014-12-01,2015-06-01,HEROMOTOCO.NS,Long,0.06753126688188972,2256.170166015625,1832.6636962890625,-0.012676317089955428
2015-01-01,2015-07-01,HEROMOTOCO.NS,Long,0.06255250883585052,2081.037353515625,1970.19775390625,-0.0033316533325145337
2015-12-01,2016-06-01,HEROMOTOCO.NS,Long,0.024579108968604064,1978.5697021484375,2367.5859375,0.004832618445981255
2016-01-01,2016-07-01,HEROMOTOCO.NS,Long,0.020692827323589597,1884.2349853515625,2386.135009765625,0.005511908344578272
2016-02-01,2016-08-01,HEROMOTOCO.NS,Long,0.026363287688232828,1835.9478759765625,2638.07177734375,0.011518095611566704
2016-03-01,2016-09-01,HEROMOTOCO.NS,Long,0.043677932915329516,2163.346923828125,2542.980224609375,0.007664789064255479
2016-04-01,2016-10-01,HEROMOTOCO.NS,Long,0.039032878799942584,2158.371826171875,2519.362060546875,0.006528295030292984
2016-05-01,2016-11-01,HEROMOTOCO.NS,Long,0.04672649825761433,2308.4755859375,2379.708984375,0.0014418550875087818
2016-06-01,2016-12-01,HEROMOTOCO.NS,Long,0.05678191033969721,2367.5859375,2287.708984375,-0.0019156922326296507
2016-07-01,2017-01-01,HEROMOTOCO.NS,Long,0.06262559191771619,2386.135009765625,2384.4443359375,-4.437278225783462e-05
2016-08-01,2017-02-01,HEROMOTOCO.NS,Long,0.06911854951754444,2638.07177734375,2358.7001953125,-0.007319648651055465
2016-09-01,2017-03-01,HEROMOTOCO.NS,Long,0.06105158880826949,2542.980224609375,2421.724853515625,-0.0029110855779253646
2016-10-01,2017-04-01,HEROMOTOCO.NS,Long,0.060524734701981095,2519.362060546875,2535.3701171875,0.0003845748876038087
2016-11-01,2017-05-01,HEROMOTOCO.NS,Long,0.07398490132832657,2379.708984375,2861.478759765625,0.01497817150301964
2016-12-01,2017-06-01,HEROMOTOCO.NS,Long,0.05196408311024208,2287.708984375,2827.787109375,0.012267585066634234
2017-09-01,2018-03-01,HEROMOTOCO.NS,Long,0.05432444037965486,2907.178955078125,2771.065673828125,-0.0025434546501614027
2020-05-01,2020-11-01,HEROMOTOCO.NS,Long,0.015739474612761435,2030.1435546875,2697.623291015625,0.005174895312310254
2020-06-01,2020-12-01,HEROMOTOCO.NS,Long,0.01574826297940887,2190.174560546875,2698.621337890625,0.003655943094619353
2020-07-01,2021-01-01,HEROMOTOCO.NS,Long,0.01420312896667048,2301.577392578125,2825.35205078125,0.0032322350071398776
2020-08-01,2021-02-01,HEROMOTOCO.NS,Long,0.016889940941828593,2608.420654296875,2797.541259765625,0.001224586169407975
2020-09-01,2021-03-01,HEROMOTOCO.NS,Long,0.014801392834020119,2730.98681640625,2575.822509765625,-0.0008409589686077085
2020-10-01,2021-04-01,HEROMOTOCO.NS,Long,0.015475426878615259,2429.453125,2492.322021484375,0.0004004699660476785
2020-11-01,2021-05-01,HEROMOTOCO.NS,Long,0.017965145775586357,2697.623291015625,2658.83642578125,-0.00025830577991904505
2020-12-01,2021-06-01,HEROMOTOCO.NS,Long,0.03527474379931341,2698.621337890625,2566.097900390625,-0.0017322661166204287
2021-01-01,2021-07-01,HEROMOTOCO.NS,Long,0.031546920769638935,2825.35205078125,2442.94677734375,-0.004269807318238143
2022-06-01,2022-12-01,HEROMOTOCO.NS,Long,0.03912138471116197,2466.242919921875,2515.0380859375,0.0007740253185613839
2022-07-01,2023-01-01,HEROMOTOCO.NS,Long,0.03237381624866118,2555.427734375,2537.444091796875,-0.00022782845019415484
2022-08-01,2023-02-01,HEROMOTOCO.NS,Long,0.04397053334403814,2605.810302734375,2221.417236328125,-0.006486261922403641
2022-09-01,2023-03-01,HEROMOTOCO.NS,Long,0.05482128777786827,2340.885498046875,2211.760986328125,-0.0030239719208891283
