Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-08-01,2014-02-01,WIPRO.NS,Long,0.018089796246545352,84.04476165771484,103.79598999023438,0.004251254796930872
2013-09-01,2014-03-01,WIPRO.NS,Long,0.019409811953497037,82.21129608154297,94.40263366699219,0.002878334015808024
2013-10-01,2014-04-01,WIPRO.NS,Long,0.021363568605772338,83.0194091796875,90.77912139892578,0.0019968239474933225
2013-11-01,2014-05-01,WIPRO.NS,Long,0.022669772247169147,81.82025909423828,87.97242736816406,0.0017045687112225043
2014-01-01,2014-07-01,WIPRO.NS,Long,0.018663726506090342,99.93783569335938,94.61119079589844,-0.0009947688267565565
2014-02-01,2014-08-01,WIPRO.NS,Long,0.02653453660832753,103.79598999023438,98.23471069335938,-0.0014216923901004973
2014-03-01,2014-09-01,WIPRO.NS,Long,0.039222254790333325,94.40263366699219,103.71776580810547,0.003870236158168929
2014-04-01,2014-10-01,WIPRO.NS,Long,0.046061629953116946,90.77912139892578,97.96533203125,0.0036463073205640134
2015-10-01,2016-04-01,WIPRO.NS,Long,0.040689037773867474,101.660400390625,99.27969360351562,-0.0009528653046513993
2016-02-01,2016-08-01,WIPRO.NS,Long,0.16462031812793856,93.17263793945312,88.20764923095703,-0.008772296661015274
2016-03-01,2016-09-01,WIPRO.NS,Long,0.1258258924818155,101.05267333984375,85.92913055419922,-0.018831102687318454
2016-04-01,2016-10-01,WIPRO.NS,Long,0.1144312395135377,99.27969360351562,82.90604400634766,-0.018872510084961814
2017-08-01,2018-02-01,WIPRO.NS,Long,0.06856896207215728,107.7967529296875,105.87071228027344,-0.001225144585989977
2017-11-01,2018-05-01,WIPRO.NS,Long,0.03364403758657545,105.20182800292969,94.6978759765625,-0.0033592130810962875
2018-01-01,2018-07-01,WIPRO.NS,Long,0.043790276757274996,109.81500244140625,99.9407958984375,-0.003937478738442947
2018-11-01,2019-05-01,WIPRO.NS,Long,0.10518027067009018,117.38704681396484,138.46531677246094,0.018886395046681614
2018-12-01,2019-06-01,WIPRO.NS,Long,0.10431053052886809,119.62885284423828,135.61285400390625,0.01393727015931435
2019-01-01,2019-07-01,WIPRO.NS,Long,0.12333817211746961,133.49545288085938,128.26414489746094,-0.004833272973213013
2019-02-01,2019-08-01,WIPRO.NS,Long,0.09668019636798342,133.76361083984375,122.99433135986328,-0.007783701773069019
2019-03-01,2019-09-01,WIPRO.NS,Long,0.1260581900453391,123.1877212524414,115.93569946289062,-0.007421005370224875
2019-04-01,2019-10-01,WIPRO.NS,Long,0.0735103352830395,144.33946228027344,125.36331939697266,-0.009664319124465436
2019-05-01,2019-11-01,WIPRO.NS,Long,0.04935618567204153,138.46531677246094,114.92041778564453,-0.008392617249649752
2019-06-01,2019-12-01,WIPRO.NS,Long,0.05107364624480622,135.61285400390625,118.83650207519531,-0.006318202429842489
2019-07-01,2020-01-01,WIPRO.NS,Long,0.03069101210948633,128.26414489746094,114.48529052734375,-0.003297000784328205
2020-08-01,2021-02-01,WIPRO.NS,Long,0.038405060074460796,131.69447326660156,199.16787719726562,0.019676756868450038
2020-09-01,2021-03-01,WIPRO.NS,Long,0.03681006498934316,152.2034912109375,201.03672790527344,0.01181020620523919
2020-10-01,2021-04-01,WIPRO.NS,Long,0.03305504933232132,165.38265991210938,239.19076538085938,0.014752033669619725
2020-11-01,2021-05-01,WIPRO.NS,Long,0.04252726164444703,170.13975524902344,261.66571044921875,0.022877358900391297
2020-12-01,2021-06-01,WIPRO.NS,Long,0.07242088780171003,187.4935302734375,264.8695068359375,0.02988709481872951
2021-01-01,2021-07-01,WIPRO.NS,Long,0.05081549194571921,202.85707092285156,285.0144348144531,0.020580336904809905
2021-02-01,2021-08-01,WIPRO.NS,Long,0.053738096802826575,199.16787719726562,311.1300354003906,0.03020885385956966
2021-03-01,2021-09-01,WIPRO.NS,Long,0.06167290765229466,201.03672790527344,307.80487060546875,0.03275372551854709
2021-04-01,2021-10-01,WIPRO.NS,Long,0.05967389229387998,239.19076538085938,313.9454650878906,0.01864998379714076
2021-05-01,2021-11-01,WIPRO.NS,Long,0.09642741082640433,261.66571044921875,309.333984375,0.017566414129446782
2021-06-01,2021-12-01,WIPRO.NS,Long,0.11176204510611785,264.8695068359375,347.2452697753906,0.03475856410678715
2021-07-01,2022-01-01,WIPRO.NS,Long,0.11308135174974626,285.0144348144531,277.9515380859375,-0.0028022507345965056
2021-08-01,2022-02-01,WIPRO.NS,Long,0.11741045841269404,311.1300354003906,270.23577880859375,-0.015432175831916408
2021-09-01,2022-03-01,WIPRO.NS,Long,0.09570600645203353,307.80487060546875,287.7879638671875,-0.006223872291804025
2021-10-01,2022-04-01,WIPRO.NS,Long,0.09056468930753526,313.9454650878906,247.38388061523438,-0.019201198577261724
2021-11-01,2022-05-01,WIPRO.NS,Long,0.078020116988815,309.333984375,234.36790466308594,-0.018907920256915244
2021-12-01,2022-06-01,WIPRO.NS,Long,0.06109484612071528,347.2452697753906,203.97189331054688,-0.02520772966605659
2022-01-01,2022-07-01,WIPRO.NS,Long,0.05601892613669582,277.9515380859375,207.72238159179688,-0.014154129016085329
2024-07-01,2025-01-01,WIPRO.NS,Long,0.026553522443416324,255.91476440429688,305.8230285644531,0.0051784437508850855
2024-11-01,2025-05-01,WIPRO.NS,Long,0.03304436933489874,283.295654296875,249.6699981689453,-0.0039221872392550365
