Entry Date,Exit Date,Ticker,Position,Weight,Entry Price,Exit Price,Return
2013-02-01,2013-03-01,BAJAJFINSV.NS,Long,0.0593458416381933,80.24685668945312,76.41873931884766,-0.0028310497958511055
2013-02-01,2013-03-01,BAJFINANCE.NS,Long,0.13321563054103114,121.359619140625,108.73920440673828,-0.013853343627553026
2013-02-01,2013-03-01,EICHERMOT.NS,Long,0.07754014122952162,236.5272216796875,218.73207092285156,-0.005833740797726478
2013-02-01,2013-03-01,HCLTECH.NS,Long,0.11574425137999138,135.26283264160156,148.65077209472656,0.011456044496927205
2013-02-01,2013-03-01,ULTRACEMCO.NS,Long,0.10071311668330576,1784.1197509765625,1784.979248046875,4.8518396079603054e-05
2013-02-01,2013-03-01,TECHM.NS,Long,0.0740802051886493,201.9612579345703,203.5849151611328,0.0005955640291107269
2013-02-01,2013-03-01,ITC.NS,Long,0.12721377273802276,137.2869415283203,144.10935974121094,0.006321836224163955
2013-02-01,2013-03-01,ASIANPAINT.NS,Long,0.11643814424325266,388.75238037109375,447.44927978515625,0.01758074904668672
2013-02-01,2013-03-01,INDUSINDBK.NS,Long,0.09332135209811693,383.0367431640625,376.24993896484375,-0.0016535064993098943
2013-02-01,2013-03-01,BPCL.NS,Long,0.10238754425991502,32.96058654785156,33.47011947631836,0.0015827942014787692
2013-03-01,2013-04-01,TECHM.NS,Long,0.07456994277277453,203.5849151611328,183.16876220703125,-0.0074781147523754156
2013-03-01,2013-04-01,BAJFINANCE.NS,Long,0.1164696110318593,108.73920440673828,116.14097595214844,0.007927972781702493
2013-03-01,2013-04-01,EICHERMOT.NS,Long,0.06972137301705912,218.73207092285156,254.3952178955078,0.011367713763016356
2013-03-01,2013-04-01,HCLTECH.NS,Long,0.11295636897101406,148.65077209472656,134.88885498046875,-0.010457370421971496
2013-03-01,2013-04-01,SUNPHARMA.NS,Long,0.12528809626500895,376.2784423828125,436.9737854003906,0.020209512749836487
2013-03-01,2013-04-01,ITC.NS,Long,0.10716732440697581,144.10935974121094,153.1438751220703,0.006718542379336465
2013-03-01,2013-04-01,APOLLOHOSP.NS,Long,0.10138913553044261,798.6234741210938,794.149169921875,-0.0005680346866316024
2013-03-01,2013-04-01,DIVISLAB.NS,Long,0.09059745904564098,437.6261291503906,476.3367004394531,0.008013871118259934
2013-03-01,2013-04-01,ASIANPAINT.NS,Long,0.0987353567851753,447.44927978515625,425.9742126464844,-0.004738745846100033
2013-03-01,2013-04-01,ULTRACEMCO.NS,Long,0.10310533217404931,1784.979248046875,1815.44580078125,0.0017598322464045923
2013-04-01,2013-05-01,HCLTECH.NS,Long,0.11099187300410467,134.88885498046875,139.65289306640625,0.003920038540601859
2013-04-01,2013-05-01,ASIANPAINT.NS,Long,0.08830645918914276,425.9742126464844,442.5217590332031,0.0034303842493205506
2013-04-01,2013-05-01,TECHM.NS,Long,0.08489047331955399,183.16876220703125,185.9069366455078,0.0012690205541218416
